name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
Lewis's Woodpecker,Open Woodland,Insects,Cavity,Aerial Forager,Least Concern,26-28,28, 49-52,52,88-138,113.0,,,,,,,,,,,,,,,, PICIFORMES, PICIDAE
American Three-toed Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,20,20,,,65,65,3-7,3,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Red-headed Woodpecker,Open Woodland,Omnivore,Cavity,Flycatching,Near Threatened,19-23,23, 42, 42,56-91,73.5,3-10,3,10, 1-2 ,2 ,2.5,2.5,1.9,1.9,12-14,14,12,24-31,24,31, PICIFORMES, PICIDAE
Hairy Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,18-26,26, 33-41,41,40-95,67.5,3-6,3,6, 1 , 1 ,2.1-2.5,2.5,1.8-1.9,1.9,11-12,12,11,28-30,28,30, PICIFORMES, PICIDAE
Clark's Grebe,Marsh,Fish,Floating,Surface Dive,Least Concern,55-75,75, 81-82,82,718-1685,1201.5,,,,,,,,,,,,,,,, PODICIPEDIFORMES, PODICIPEDIDAE
Pied-billed Grebe,Lake/Pond,Insects,Floating,Surface Dive,Least Concern,30-38,38, 45-62,62,253-568,410.5,2-10,2,10, 1-2 ,2 ,3.8-5,5,2.7-3.2,3.2,23-27,27,23,1,1,1, PODICIPEDIFORMES, PODICIPEDIDAE
Least Grebe,Lake/Pond,Insects,Floating,Surface Dive,Least Concern,22-27,27,,,81-182,131.5,3-7,3,7,,,,,,,,,,,,, PODICIPEDIFORMES, PODICIPEDIDAE
Red-necked Grebe,Lake/Pond,Fish,Floating,Surface Dive,Least Concern,43-56,56, 61-88,88,800-1600,1200.0,1-9,1,9,,,,,,,,,,,,, PODICIPEDIFORMES, PODICIPEDIDAE
Eared Grebe,Lake/Pond,Insects,Floating,Surface Dive,Least Concern,30-35,35, 52-55,55,200-735,467.5,1-8,1,8,,,,,,,,,,,,, PODICIPEDIFORMES, PODICIPEDIDAE
Western Grebe,Lake/Pond,Fish,Floating,Surface Dive,Least Concern,55-75,75, 79-86,86,800-1800,1300.0,3-4,3,4, 1 , 1 ,5.3-6.6,6.6,3.5-4.2,4.2,24,24,24,,,, PODICIPEDIFORMES, PODICIPEDIDAE
Horned Grebe,Lake/Pond,Insects,Floating,Surface Dive,Least Concern,31-38,38, 55-64,64,300-570,435.0,3-8,3,8,,,,,,,,,,,,, PODICIPEDIFORMES, PODICIPEDIDAE
Northern Fulmar,Ocean,Fish,Cliff,Dabbler,Least Concern,39-50,50, 100-112,112,450-1000,725.0,1,1,1,,,,,,,,,,,,, PROCELLARIIFORMES, PROCELLARIIDAE
Phainopepla,Scrub,Fruit,Tree,Foliage Gleaner,Least Concern,18-21,21, 29, 29,18-28,23.0,2-4,2,4,,,,,,,,,,,,, PASSERIFORMES, PTILOGONATIDAE
Common Gallinule,Marsh,Plants,Floating,Dabbler,Least Concern,32-35,35, 54-62,62,310-456,383.0,3-15,3,15,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
American Coot,Lake/Pond,Plants,Floating,Surface Dive,Least Concern,39.4-42.9,42.9, 58.4-63.5,63.5,600-700,650.0,8-12,8,12, 1-2 ,2 ,4.3-5.5,5.5,2-3.7,3.7,23-25,25,23,,,, GRUIFORMES, RALLIDAE
Virginia Rail,Marsh,Insects,Ground,Probing,Least Concern,20-27,27, 32-38,38,65-95,80.0,4-13,4,13,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Clapper Rail,Marsh,Insects,Ground,Probing,Least Concern,32-41,41,,,160-400,280.0,,,,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Purple Gallinule,Marsh,Omnivore,Floating,Ground Forager,Least Concern,37-36,36, 55, 55,208-288,248.0,,,,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Yellow Rail,Marsh,Insects,Ground,Probing,Least Concern,13-18,18, 28-32,32,41-68,54.5,4-10,4,10,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
King Rail,Marsh,Insects,Ground,Probing,Least Concern,38-48,48, 50, 50,305-370,337.5,6-14,6,14,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Sora,Marsh,Seeds,Floating,Ground Forager,Least Concern,20-25,25,,,49-112,80.5,,,,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Gray-cheeked Thrush,Forest,Insects,Shrub,Ground Forager,Least Concern,16-17,17,,,26-30,28.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, TURDIDAE
Black Rail,Marsh,Insects,Ground,Probing,Near Threatened,10-15,15, 22-28,28,29,29,,,,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Bicknell's Thrush,Forest,Insects,Shrub,Ground Forager,Vulnerable,16-17,17,,,26-30,28.0,3-4,3,4,,,,,,,,,,,,, PASSERIFORMES, TURDIDAE
Western Bluebird,Open Woodland,Insects,Cavity,Flycatching,Least Concern,16-19,19,,,24-31,27.5,2-8,2,8, 1-3 ,3 ,2-6,6,1.8-2.4,2.4,12-17,17,12,18-25,18,25, PASSERIFORMES, TURDIDAE
Swainson's Thrush,Forest,Insects,Shrub,Foliage Gleaner,Least Concern,16-19,19, 29-31,31,23-45,34.0,1-5,1,5, 1 , 1 ,2-2.6,2.6,1.5-1.8,1.8,10-14,14,10,10-14,10,14, PASSERIFORMES, TURDIDAE
Hermit Thrush,Open Woodland,Insects,Ground,Ground Forager,Least Concern,14-18,18, 25-29,29,23-37,30.0,3-6,3,6, 1-2 ,2 ,2-2.5,2.5,1.5-1.8,1.8,11-13,13,11,10-15,10,15, PASSERIFORMES, TURDIDAE
Townsend's Solitaire,Open Woodland,Insects,Ground,Flycatching,Least Concern,20-22,22,,,30-35,32.5,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, TURDIDAE
Wood Thrush,Forest,Insects,Tree,Ground Forager,Least Concern,19-21,21, 30-34,34,40-50,45.0,3-4,3,4, 1-2 ,2 ,2.3-2.8,2.8,1.7-2.1,2.1,12-15,15,12,12-15,12,15, PASSERIFORMES, TURDIDAE
Mountain Bluebird,Open Woodland,Insects,Cavity,Flycatching,Least Concern,16-20,20,,,30,30,4-8,4,8, 1-2 ,2 ,1.9-2.5,2.5,1.6-1.7,1.7,13,13,13,18-21,18,21, PASSERIFORMES, TURDIDAE
Varied Thrush,Forest,Insects,Tree,Ground Forager,Least Concern,19-26,26, 34-38,38,65-100,82.5,1-6,1,6, 1-2 ,2 ,2.8-3.5,3.5,1.9-2.3,2.3,12,12,12,13-15,13,15, PASSERIFORMES, TURDIDAE
Veery,Forest,Insects,Ground,Ground Forager,Least Concern,17-18,18, 28-29,29,28-54,41.0,1-5,1,5, 1-2 ,2 ,2.1-2.5,2.5,1.6-1.8,1.8,10-14,14,10,10-12,10,12, PASSERIFORMES, TURDIDAE
Black Oystercatcher,Shore-line,Insects,Ground,Probing,Least Concern,42-47,47,,,500-700,600.0,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, HAEMATOPODIDAE
American Oystercatcher,Shore-line,Insects,Ground,Probing,Least Concern,40-44,44,,,400-700,550.0,2-4,2,4, 1 , 1 ,2.1-2.3,2.3,1.5-1.6,1.6,24-28,28,24,1,1,1, CHARADRIIFORMES, HAEMATOPODIDAE
Rock Wren,Mountains,Insects,Ground,Ground Forager,Least Concern,12-15,15, 23, 23,15-18,16.5,1-10,1,10,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Bewick's Wren,Open Woodland,Insects,Cavity,Foliage Gleaner,Least Concern,13,13,,,8-12,10.0,3-8,3,8, 1-3 ,3 ,1.5-1.9,1.9,1.2-1.4,1.4,14-16,16,14,14-16,14,16, PASSERIFORMES, TROGLODYTIDAE
Carolina Wren,Open Woodland,Insects,Cavity,Ground Forager,Least Concern,12-14,14, 29, 29,18-22,20.0,3-7,3,7, 1-3 ,3 ,1.7-2.1,2.1,1.4-1.6,1.6,12-16,16,12,10-16,10,16, PASSERIFORMES, TROGLODYTIDAE
House Wren,Open Woodland,Insects,Cavity,Foliage Gleaner,Least Concern,11-13,13, 15, 15,10-12,11.0,3-10,3,10, 1-2 ,2 ,1.4-1.9,1.9,1.1-1.4,1.4,9-16,16,9,15-17,15,17, PASSERIFORMES, TROGLODYTIDAE
Cactus Wren,Deserts,Insects,Shrub,Ground Forager,Least Concern,18-22,22,,,32-47,39.5,,,,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Canyon Wren,Mountains,Insects,Cliff,Ground Forager,Least Concern,11-15,15, 19, 19,9-18,13.5,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Sedge Wren,Marsh,Insects,Shrub,Ground Forager,Least Concern,10-12,12,,,,,2-8,2,8,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Marsh Wren,Marsh,Insects,Shrub,Ground Forager,Least Concern,10-14,14,,,9-14,11.5,3-10,3,10,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Winter Wren,Forest,Insects,Cavity,Ground Forager,Least Concern,8-12,12, 12-16,16,8-12,10.0,1-9,1,9,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Pacific Wren,Forest,Insects,Cavity,Ground Forager,Least Concern,,,,,,,1-9,1,9,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Broad-billed Hummingbird,Scrub,Nectar,Tree,Hovering,Least Concern,10,10, 12, 12,3-4,3.5,2-3,2,3,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Ruby-throated Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,7-9,9, 8-11,11,2-6,4.0,1-3,1,3, 1-2 ,2 ,1.2-1.4,1.4,0.8-0.9,0.9,12-14,14,12,18-22,18,22, APODIFORMES, TROCHILIDAE
Costa's Hummingbird,Deserts,Nectar,Shrub,Hovering,Least Concern,9,9, 11, 11,2-3,2.5,2-3,2,3,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Buff-bellied Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,10-11,11, 14, 14,2-4,3.0,,,,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Lucifer Hummingbird,Scrub,Nectar,Shrub,Hovering,Least Concern,9,9,,,3-4,3.5,2,2,2, 1-2 ,2 ,1.2-1.4,1.4,0.8-1,1,15,15,15,22-24,22,24, APODIFORMES, TROCHILIDAE
Blue-throated Hummingbird,Open Woodland,Nectar,Shrub,Hovering,Least Concern,11-12,12, 19, 19,6-8,7.0,1-2,1,2,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Allen's Hummingbird,Open Woodland,Nectar,Shrub,Hovering,Least Concern,9,9, 11, 11,2-4,3.0,2,2,2,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Anna's Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,10,10, 12, 12,3-6,4.5,2,2,2, 2-3 ,3 ,1.2-1.4,1.4,0.8-0.9,0.9,16,16,16,20,20,20, APODIFORMES, TROCHILIDAE
Broad-tailed Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,8-9,9, 13, 13,3-4,3.5,2,2,2, 1 , 1 ,1.2-1.5,1.5,0.8-1,1,16-19,19,16,21-26,21,26, APODIFORMES, TROCHILIDAE
Calliope Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,9,9, 11, 11,2-3,2.5,,,,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Rufous Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,7-9,9, 11, 11,2-5,3.5,2-3,2,3, 1 , 1 ,1.3,1.3,0.8,0.8,15-17,17,15,15-19,15,19, APODIFORMES, TROCHILIDAE
Black-chinned Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,9,9, 11, 11,2.3-4,3.15,2,2,2, 1-3 ,3 ,1.2-1.4,1.4,0.8,0.8,12-16,16,12,21,21,21, APODIFORMES, TROCHILIDAE
Magnificent Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,11-14,14, 18, 18,7-8,7.5,,,,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Northern Shrike,Open Woodland,Birds,Tree,Aerial Dive,Least Concern,23-24,24, 30-35,35,56-79,67.5,4-9,4,9,,,,,,,,,,,,, PASSERIFORMES, LANIIDAE
Loggerhead Shrike,Open Woodland,Insects,Tree,Aerial Dive,Least Concern,20-23,23, 28-32,32,35-50,42.5,5-6,5,6, 1-2 ,2 ,2.3-2.7,2.7,1.8-2,2,15-17,17,15,16-20,16,20, PASSERIFORMES, LANIIDAE
Black-capped Vireo,Scrub,Insects,Tree,Foliage Gleaner,Vulnerable,11,11, 18, 18,8-10,9.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Hutton's Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,13-12,12,,,9-15,12.0,,,,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Philadelphia Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-13,13,,,11-13,12.0,,,,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Plumbeous Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12-14,14,,,12-20,16.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Cassin's Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-14,14, 24, 24,13-18,15.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Gray Vireo,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,13-15,15, 21, 21,12-15,13.5,2-4,2,4,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Red-eyed Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12-13,13, 23-25,25,12-26,19.0,1-5,1,5, 1-2 ,2 ,2-2.4,2.4,1.2-2.4,2.4,11-15,15,11,10-12,10,12, PASSERIFORMES, VIREONIDAE
Warbling Vireo,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,12-13,13, 22, 22,10-16,13.0,4,4,4, 1-2 ,2 ,1.8-2,2,1.3-1.5,1.5,12-14,14,12,13-14,13,14, PASSERIFORMES, VIREONIDAE
Blue-headed Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,13-15,15, 20-24,24,13-19,16.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Yellow-throated Vireo,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,13-15,15, 23, 23,15-21,18.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Bell's Vireo,Scrub,Insects,Shrub,Foliage Gleaner,Near Threatened,11-12,12, 18, 18,7-10,8.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
White-eyed Vireo,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,11-13,13, 17, 17,10-14,12.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Black-whiskered Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,15-16,16,,,17-22,19.5,2-4,2,4,,,,,,,,,,,,, PASSERIFORMES, VIREONIDAE
Barn Owl,Grassland,Mammals,Building,Aerial Dive,Least Concern,32-40,40, 100-125,125,400-700,550.0,2-18,2,18, 1-3 ,3 ,3.9-4.4,4.4,3.1-3.4,3.4,29-34,34,29,50-55,50,55, STRIGIFORMES, TYTONIDAE
Heermann's Gull,Shore-line,Fish,Ground,Aerial Dive,Near Threatened,46-53,53, 104-115,115,371-643,507.0,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Black-legged Kittiwake,Ocean,Fish,Cliff,Dabbler,Least Concern,38-41,41, 94, 94,305-525,415.0,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Bonaparte's Gull,Lake/Pond,Insects,Tree,Dabbler,Least Concern,28-38,38, 76-80,80,180-225,202.5,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Ring-billed Gull,Lake/Pond,Omnivore,Ground,Ground Forager,Least Concern,43-54,54, 105-117,117,300-700,500.0,2-4,2,4, 1 , 1 ,5-6.6,6.6,3.6-4.6,4.6,20-31,31,20,4-5,4,5, CHARADRIIFORMES, LARIDAE
Royal Tern,Shore-line,Fish,Ground,Aerial Dive,Least Concern,45-50,50, 125-135,135,350-450,400.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
California Gull,Lake/Pond,Insects,Ground,Aerial Dive,Least Concern,47-54,54, 130, 130,430-1045,737.5,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Ivory Gull,Ocean,Fish,Ground,Aerial Dive,Near Threatened,40-43,43, 108-120,120,448-687,567.5,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Mew Gull,Shore-line,Omnivore,Ground,Ground Forager,Least Concern,41-46,46, 107-114,114,360-600,480.0,1-5,1,5,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Black Tern,Marsh,Insects,Floating,Aerial Dive,Least Concern,23-26,26, 57-60,60,50-60,55.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Glaucous-winged Gull,Shore-line,Omnivore,Cliff,Ground Forager,Least Concern,50-59,59, 120-143,143,900-1200,1050.0,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Glaucous Gull,Shore-line,Omnivore,Cliff,Soaring,Least Concern,68,68, 149-182,182,1250-2700,1975.0,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Ross's Gull,Marsh,Insects,Ground,Dabbler,Least Concern,29-31,31, 90-100,100,140-250,195.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Great Black-backed Gull,Shore-line,Omnivore,Ground,Ground Forager,Least Concern,71-79,79, 146-160,160,1300-2000,1650.0,2-3,2,3, 1 , 1 ,7.1-8.5,8.5,5.1-5.8,5.8,30-32,32,30,1,1,1, CHARADRIIFORMES, LARIDAE
Franklin's Gull,Lake/Pond,Omnivore,Floating,Ground Forager,Least Concern,32-36,36, 85-95,95,220-335,277.5,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Sandwich Tern,Shore-line,Fish,Ground,Aerial Dive,Least Concern,34-45,45, 84-90,90,180-300,240.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Gull-billed Tern,Shore-line,Insects,Ground,Flycatching,Least Concern,33-38,38, 91, 91,150-205,177.5,1-7,1,7,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Least Tern,Shore-line,Fish,Ground,Aerial Dive,Least Concern,21-23,23, 48-53,53,30-45,37.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Caspian Tern,Shore-line,Fish,Ground,Aerial Dive,Least Concern,47-54,54, 120-135,135,530-782,656.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Common Tern,Shore-line,Fish,Ground,Aerial Dive,Least Concern,31-38,38, 75-80,80,93-200,146.5,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Western Gull,Ocean,Fish,Cliff,Soaring,Least Concern,56-66,66, 120-144,144,800-1250,1025.0,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Arctic Tern,Shore-line,Fish,Ground,Aerial Dive,Least Concern,28-39,39, 65-75,75,90-120,105.0,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Laughing Gull,Shore-line,Insects,Ground,Ground Forager,Least Concern,39-46,46, 92-120,120,203-371,287.0,2-4,2,4, 1 , 1 ,4.5-6,6,3.2-4,4,22-27,27,22,35,35,35, CHARADRIIFORMES, LARIDAE
Iceland Gull,Shore-line,Omnivore,Cliff,Aerial Dive,Least Concern,50-60,60, 115-137,137,820-1100,960.0,1-3,1,3,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Black Skimmer,Shore-line,Fish,Ground,Aerial Dive,Least Concern,40-50,50,,,212-447,329.5,4,4,4, 1 , 1 ,1.6-2,2,1.2-1.5,1.5,21-25,25,21,28-30,28,30, CHARADRIIFORMES, LARIDAE
Lesser Black-backed Gull,Shore-line,Omnivore,Ground,Ground Forager,Least Concern,52-64,64, 135-150,150,545-1000,772.5,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Sabine's Gull,Ocean,Insects,Ground,Hovering,Least Concern,34,34,,,155-213,184.0,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Herring Gull,Shore-line,Omnivore,Ground,Ground Forager,Least Concern,56-66,66, 137-146,146,800-1250,1025.0,1-3,1,3, 1 , 1 ,6.5-7.6,7.6,4.8-5.3,5.3,31-32,32,31,45-50,45,50, CHARADRIIFORMES, LARIDAE
Black-headed Gull,Lake/Pond,Omnivore,Ground,Ground Forager,Least Concern,34-37,37, 100-110,110,190-400,295.0,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Elegant Tern,Shore-line,Fish,Ground,Aerial Dive,Near Threatened,39-42,42, 107, 107,190-325,257.5,1-2,1,2,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Little Gull,Lake/Pond,Insects,Ground,Dabbler,Least Concern,29-30,30, 61, 61,100-150,125.0,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Thayer's Gull,Shore-line,Omnivore,Cliff,Soaring,Least Concern,52-60,60,,,1000,1000,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Roseate Tern,Shore-line,Fish,Ground,Surface Dive,Least Concern,33-41,41,,,90-140,115.0,1-5,1,5,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Forster's Tern,Marsh,Fish,Floating,Aerial Dive,Least Concern,33-36,36,,,130-190,160.0,1-6,1,6,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Fork-tailed Storm-Petrel,Ocean,Fish,Cliff,Soaring,Least Concern,20,20,,,50-80,65.0,,,,,,,,,,,,,,,, PROCELLARIIFORMES, HYDROBATIDAE
Hammond's Flycatcher,Forest,Insects,Tree,Flycatching,Least Concern,12-14,14, 22, 22,8-12,10.0,3-4,3,4,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Great Kiskadee,Open Woodland,Insects,Tree,Flycatching,Least Concern,,,,,,,2-5,2,5, 1-2 ,2 ,2.7-3.2,3.2,2-2.3,2.3,15-22,22,15,10-12,10,12, PASSERIFORMES, TYRANNIDAE
Yellow-bellied Flycatcher,Forest,Insects,Ground,Flycatching,Least Concern,13-15,15, 18-20,20,9-16,12.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Pacific-slope Flycatcher,Forest,Insects,Cavity,Flycatching,Least Concern,14-17,17, 20-23,23,8-12,10.0,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Western Kingbird,Grassland,Insects,Tree,Flycatching,Least Concern,20-24,24, 37-40,40,37-46,41.5,2-7,2,7, 1-2 ,2 ,2.3-2.4,2.4,1.7-1.8,1.8,12-19,19,12,13-19,13,19, PASSERIFORMES, TYRANNIDAE
Greater Pewee,Open Woodland,Insects,Tree,Flycatching,Least Concern,18,18,,,27,27,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Tropical Kingbird,Open Woodland,Insects,Tree,Flycatching,Least Concern,18-23,23,,,32-43,37.5,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Say's Phoebe,Grassland,Insects,Building,Flycatching,Least Concern,17,17,,,21-22,21.5,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Buff-breasted Flycatcher,Open Woodland,Insects,Tree,Flycatching,Least Concern,13,13,,,6-9,7.5,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Eastern Phoebe,Open Woodland,Insects,Building,Flycatching,Least Concern,14-17,17, 26-28,28,16-21,18.5,2-6,2,6, 1-2 ,2 ,1.8-2.1,2.1,1.4-1.7,1.7,15-16,16,15,16-20,16,20, PASSERIFORMES, TYRANNIDAE
Dusky Flycatcher,Open Woodland,Insects,Shrub,Flycatching,Least Concern,13-15,15, 20-23,23,9-11,10.0,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Least Flycatcher,Forest,Insects,Tree,Flycatching,Least Concern,12-14,14, 20, 20,8-13,10.5,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Olive-sided Flycatcher,Open Woodland,Insects,Tree,Flycatching,Near Threatened,18-20,20,,,32-37,34.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Willow Flycatcher,Marsh,Insects,Shrub,Flycatching,Least Concern,13-17,17, 19-24,24,11-16,13.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Scissor-tailed Flycatcher,Grassland,Insects,Tree,Flycatching,Least Concern,22-37,37,,,36-56,46.0,3-6,3,6, 1-2 ,2 ,2-2.4,2.4,1.5-2,2,13-23,23,13,14-17,14,17, PASSERIFORMES, TYRANNIDAE
Couch's Kingbird,Open Woodland,Insects,Tree,Flycatching,Least Concern,20-24,24,,,40,40,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Ash-throated Flycatcher,Open Woodland,Insects,Cavity,Hovering,Least Concern,19-21,21, 30-32,32,21-38,29.5,2-7,2,7,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Acadian Flycatcher,Forest,Insects,Tree,Flycatching,Least Concern,,,,,,,1-4,1,4,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Gray Flycatcher,Open Woodland,Insects,Shrub,Flycatching,Least Concern,14-15,15, 22, 22,11-14,12.5,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Cassin's Kingbird,Open Woodland,Insects,Tree,Flycatching,Least Concern,21-23,23,,,45,45,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Eastern Kingbird,Grassland,Insects,Tree,Flycatching,Least Concern,19-23,23, 33-38,38,33-55,44.0,2-5,2,5, 1 , 1 ,2.1-2.7,2.7,1.6-2,2,14-17,17,14,16-17,16,17, PASSERIFORMES, TYRANNIDAE
Eastern Wood-Pewee,Forest,Insects,Tree,Flycatching,Least Concern,15,15, 23-26,26,10-19,14.5,2-4,2,4, 1 , 1 ,1.7-2.1,2.1,1.3-1.4,1.4,12-14,14,12,16-18,16,18, PASSERIFORMES, TYRANNIDAE
Alder Flycatcher,Scrub,Insects,Shrub,Flycatching,Least Concern,13-17,17, 21-24,24,12-14,13.0,3-4,3,4,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Cordilleran Flycatcher,Forest,Insects,Tree,Flycatching,Least Concern,14-17,17, 22, 22,11-13,12.0,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Great Crested Flycatcher,Open Woodland,Insects,Cavity,Flycatching,Least Concern,17-21,21, 34, 34,27-40,33.5,4-8,4,8, 1 , 1 ,2.1-2.4,2.4,1.5-1.8,1.8,13-15,15,13,13-15,13,15, PASSERIFORMES, TYRANNIDAE
